Name,AshOnly,AshFDwPM,BDns,DWpM,PDW,WWP,BLen,BMax,BThk,SDia,SLen,Category,Group
SL18-TI-6-MG2,1.38E-14,-2.17E-17,7.63E-15,-1.21E-16,-6.65E-15,-8.62E-16,-1.04E-13,2.99E-14,-6.58E-15,-9.59E-14,-4.35E-13,GP_from_Founders,GPs
SL18-TI-6-MG3,1.38E-14,-6.90E-17,7.64E-15,-1.82E-16,-6.67E-15,-8.27E-16,-5.24E-14,1.49E-14,-3.12E-15,-4.85E-14,-2.19E-13,GP_from_Founders,GPs
SL18-CC-1-MG11,-0.009209445,-0.00366672,0.000313932,0.000700367,0.002273929,0.009116505,-0.073969484,-0.048898457,0.004218541,-0.026860306,-0.185095481,GP_from_Founders,GPs
SL18-CC-2-MG6,-0.004077877,0.013140338,0.000160508,0.023192186,-0.001541826,0.09267308,-0.013506297,-0.120217561,0.00747047,0.080682442,0.149936412,GP_from_Founders,GPs
SL18-CC-9-MG3,-0.002403966,-0.000773727,0.002498541,0.002090147,0.000169121,0.008155037,0.002815357,0.001967794,-0.003453617,0.049349908,0.085949023,GP_from_Founders,GPs
SL18-CC-11-MG6,-0.003115823,0.023354787,-0.002117947,0.050604231,-0.002210363,0.201876368,0.173426305,0.020265938,0.02805004,0.133874747,0.276950933,GP_from_Founders,GPs
SL18-NL-5-MG3,0.001101696,-0.00397256,-0.002417285,-0.030238442,-0.000212117,-0.121220792,0.035344762,-0.037692703,0.051027337,-0.044221882,-0.221768331,GP_from_Founders,GPs
SL18-OI-17-MG3,-0.000594403,0.009804969,-0.006980884,-0.001504382,-0.000783417,-0.003629566,-0.055429839,0.044425636,-0.057718531,0.009834911,-0.064842606,GP_from_Founders,GPs
SL18-OI-18-MG4,-0.01057751,-0.006911025,-0.013246485,0.004734746,0.005831804,-0.0343147,-0.006131806,0.076713386,-0.014718476,-0.080705971,-0.324711996,GP_from_Founders,GPs
SL18-FW-14-FG1,-0.000386958,0.007850372,0.001094333,0.013086328,0.000190567,0.042976426,0.094022057,-0.00895715,0.004737657,0.03427877,0.083414073,GP_from_Founders,GPs
SL18-FI-1-FG2,7.37E-05,0.008443276,0.005416865,0.018649203,-0.000229924,0.062820925,0.106762838,-0.009373599,0.006123472,0.03752931,0.097647388,GP_from_Founders,GPs
SA18-CB-1-FG2,0.007630247,0.003199347,0.011492337,0.025798011,-0.001472388,0.080073133,0.277330154,-0.138325929,0.044841816,-0.049105716,-0.007744158,GP_from_Founders,GPs
SL18-NC-15-FG2,-0.001054236,-0.006071492,-0.004489451,-0.005499083,-0.002210813,-0.00786713,-0.045336472,0.010634708,0.01742413,0.056774779,0.192455694,GP_from_Founders,GPs
SL18-OD-3-FG2,-0.003444009,-0.009988825,-0.003846432,-0.021525079,-0.000160694,-0.068075711,-0.093131779,-0.02373756,-0.01524689,-0.011140851,-0.024650147,GP_from_Founders,GPs
SL18-OI-9-FG2,-0.002056708,6.13E-05,0.012098656,0.003771531,0.002062528,0.018171671,0.134340385,0.131827682,0.022570986,0.071192785,-0.00271882,GP_from_Founders,GPs
SL18-OI-15-FG3,0.005451266,0.007054428,0.024319402,0.057572068,0.001235782,0.202135007,0.161754323,0.099418871,-0.000723863,0.107117985,0.286834565,GP_from_Founders,GPs
SL18-BL-18-FG11,-0.001748502,0.001684778,0.002485003,0.003484824,0.000441121,0.020830345,0.012865785,0.011342724,-0.002294854,0.003283515,-0.001892831,GP_from_Founders,GPs
SL18-FI-2-FG1,0.000950248,0.007462538,0.002686595,0.01770104,-0.00064252,0.062762227,0.102052956,-0.012387979,0.005008549,0.032699173,0.078221456,GP_from_Founders,GPs
SL18-JS-6-FG2,-0.000684534,0.018984656,0.002298138,0.041294401,0.006136334,0.094837299,0.002468326,-0.032299023,0.056406145,-0.019642269,-0.19770294,GP_from_Founders,GPs
SL18-JS-19-FG5,0.003418897,-0.021412509,0.002530901,-0.027525983,-0.000405181,-0.081569084,-0.009512441,0.060051435,0.014000657,-0.039686824,-0.136762895,GP_from_Founders,GPs
SL18-NC-15-FG1,-0.001054236,-0.006071492,-0.004489451,-0.005499083,-0.002210813,-0.00786713,-0.045336472,0.010634708,0.01742413,0.056774779,0.192455694,GP_from_Founders,GPs
SL18-FW-21-FG2,-0.0004851,0.003866968,0.002150769,0.00870917,-8.36E-05,0.036058612,0.072235023,0.015462216,0.002957544,0.026184557,0.061392602,GP_from_Founders,GPs
SL18-FW-21-FG1,-0.0004851,0.003866968,0.002150769,0.00870917,-8.36E-05,0.036058612,0.072235023,0.015462216,0.002957544,0.026184557,0.061392602,GP_from_Founders,GPs
SL18-OD-1-MG4,-1.55E-14,7.84E-15,7.22E-14,5.15E-14,-7.62E-15,3.76E-13,-2.01E-14,-1.81E-13,2.54E-15,-2.00E-14,-3.01E-14,GP_from_Founders,GPs
SL18-OD-3-FG4,-0.003444009,-0.009988825,-0.003846432,-0.021525079,-0.000160694,-0.068075711,-0.093131779,-0.02373756,-0.01524689,-0.011140851,-0.024650147,GP_from_Founders,GPs
SL18-OD-4-FG4,-2.79E-13,4.20E-15,9.36E-14,1.41E-13,1.06E-14,6.21E-13,-3.08E-13,3.69E-13,-1.35E-14,-7.37E-14,-2.98E-13,GP_from_Founders,GPs
