"","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter","Indiv"
"grm4._1",-0.00467706301025303,-0.455572800203388,0.049968555409498,0.403506965558808,0.018206450828957,"SA18-CB-10-FG1xSL18-SF-19-MG2"
"grm4._2",-0.0951663163583802,0.339472347175036,-0.160069089705563,0.237969937757372,0.0929623735323407,"SL18-LD-10-FG1xSL18-OI-4-MG1"
"grm4._3",0.112224210496646,0.0108004265548149,0.0912237293984877,0.458499135075661,0.142131714636664,"SL18-NL-6-FG1xSL18-OI-11-MG2"
"grm4._4",0.0454344914218554,-0.032410377818904,0.00218735579861863,0.907859275901113,0.170921917722043,"SL18-NL-6-FG1xSL18-OI-14-MG2"
"grm4._5",-0.0538857724764072,-0.189412738832054,-0.000907427797485101,0.643225312350076,0.135537737900689,"SL18-NL-6-FG1xSL18-OI-15-MG1"
"grm4._6",-0.139076257380611,-0.316620530857253,0.0291805318215129,0.407817784835016,0.0982628817298029,"SL18-NL-6-FG1xSL18-OI-16-MG1"
"grm4._7",0.0412228045520374,-0.0930219556500288,-0.044018845231066,0.629123786983642,0.177521301067999,"SL18-NL-6-FG1xSL18-SF-17-MG1"
"grm4._8",0.0208645843060684,-0.0213150886167816,0.0514161060210289,0.687531828774212,0.27978811122296,"SL18-NL-6-FG1xSL18-SF-19-MG2"
"grm4._9",0.203177449400322,-0.450604063215303,0.0761723150606444,0.535484638567792,0.134459037400177,"SL18-LD-10-FG2xSA18-CB-7-MG2"
"grm4._10",-0.589794256103554,-0.515845995686204,-0.0625222631683218,-0.422650706003257,-0.141927758544878,"SL18-LD-10-FG2xSL18-NL-3-MG2"
"grm4._11",-0.518027439291523,-0.526226697717411,-0.0137270057646961,-0.39064593814421,-0.376595554554555,"SL18-NL-9-FG2xSL18-SF-19-MG1"
"grm4._12",-0.13306310871042,0.167112924703455,0.00393267018214155,0.737126008266932,0.3366483044441,"SL18-OI-11-FG1xSL18-SF-15-MG2"
"grm4._13",0.392618551889407,-0.194010386470755,-0.0161641742795051,0.377550235196771,0.0336675067676378,"SL18-OI-15-FG1xSA18-CB-2-MG3"
"grm4._14",0.254881744773219,0.0756038539159163,0.0900479361803975,0.036823149124978,0.0573024194163769,"SL18-OI-15-FG1xSL18-NL-5-MG1"
