"","x"
"wetWgtPerM",0.834892093138998
"percDryWgt",-0.150823514017908
"dryWgtPerM",0.886487616681418
"Ash",-0.890969559286888
"AshFDwPM",-0.156738435070305
"densityBlades",-0.843486733532688
